Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18,final_text,english_final_text,spacy_sentiment,vedar_sentiment
1429172886418427908,"75,000 muertos, 20 años de guerra, el futuro de nuestro país destruido, millones de inmigrantes, 2 millones de dólares diarios gastados y perdidos durante la guerra, para esto: https://t.co/dSX9fU5vVJ",Nayib Bukele 🇸🇻,nayibbukele,2021-08-21T20:05:43.000Z,Sat Aug 21 20:05:43 +0000 2021,4172,945,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/MigueVaquerano/status/1429154095114461188 ,0,0,,,,,,"75,000 muertos, 20 años de guerra, el futuro de nuestro país destruido, millones de inmigrantes, 2 millones de dólares diarios gastados y perdidos durante la guerra, para esto: https://t.co/dSX9fU5vVJ","75,000 killed, 20 years of war, the future of our country destroyed, millions of immigrants, 2 million dollars spent and lost during the war, for this: https://t.co/dsx9fu5vvj",Neutral,Negative
1429607967767289858,"La oposición torpe siempre juega ajedrez de un paso.

Han apostado todo a meterle miedo a la población sobre la #LeyBitcoin y puede que logren algo, pero solo hasta el 7 de septiembre.

Una vez en vigencia, la gente verá los beneficios, quedarán como mentirosos y perderán doble😉",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T00:54:35.000Z,Mon Aug 23 00:54:35 +0000 2021,9533,1973,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,,,,,"La oposición torpe siempre juega ajedrez de un paso.

Han apostado todo a meterle miedo a la población sobre la #LeyBitcoin y puede que logren algo, pero solo hasta el 7 de septiembre.

Una vez en vigencia, la gente verá los beneficios, quedarán como mentirosos y perderán doble😉","The clumsy opposition always plays a step chess.

They have bet everything to get afraid of the population about #leybitcoin and may have something, but only until September 7.

Once in force, people will see the benefits, they will be like liars and lose double",Negative,Negative
1429608848998993924,"Esto será lo que pasará el 7 de septiembre:

La gente podrá bajar una aplicación para recibir pagos o regalos en #bitcoin o DÓLARES.

Si quieren la descargarán y si no quieren, no.

Con ella recibirán $30 dólares equivalentes en #bitcoin para consumo.

Si quieren, si no, no.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T00:58:05.000Z,Mon Aug 23 00:58:05 +0000 2021,3545,749,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,,,,,,"Esto será lo que pasará el 7 de septiembre:

La gente podrá bajar una aplicación para recibir pagos o regalos en #bitcoin o DÓLARES.

Si quieren la descargarán y si no quieren, no.

Con ella recibirán $30 dólares equivalentes en #bitcoin para consumo.

Si quieren, si no, no.","This will be what will happen on September 7:

People can download an application to receive payments or gifts in #BITCOIN or dollars.

If you want to download it and if you do not want, no.

With it you will receive $ 30 dollars equivalent in #BITCOIN for consumption.

If you want, if not, no.",Neutral,Positive
1429609769866780672,"Con esta aplicación podrán aceptar pagos en #bitcoin o en DÓLARES, abrir un pequeño negocio y manejarlo desde ahí, recibir dinero de familiares o amigos y enviar y recibir remesas sin pagar un tan solo centavo de comisión a nadie.

Si quieren, si no, pues no descargan nada y ya.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:01:44.000Z,Mon Aug 23 01:01:44 +0000 2021,3184,607,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,0,,,,,,"Con esta aplicación podrán aceptar pagos en #bitcoin o en DÓLARES, abrir un pequeño negocio y manejarlo desde ahí, recibir dinero de familiares o amigos y enviar y recibir remesas sin pagar un tan solo centavo de comisión a nadie.

Si quieren, si no, pues no descargan nada y ya.","With this application you can accept payments at #BITCOIN or in dollars, open a small business and manage it from there, receive money from family or friends and send and receive remittances without paying a just penny of commission to anyone.

If you want, if not, then do not discharge anything and now.",Neutral,Positive
1429610529404956672,"Un salvadoreño en el exterior podrá enviar dinero INSTANTÁNEAMENTE a su familiar en El Salvador. Podrá enviarle #bitcoin (si quiere) o podrá enviarle DÓLARES, si así lo desea.

Si no quiere, siempre puede ir a hacer cola a Western Unión y pagar comisión. No hay ningún problema.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:04:45.000Z,Mon Aug 23 01:04:45 +0000 2021,3487,671,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,0,,,,,,"Un salvadoreño en el exterior podrá enviar dinero INSTANTÁNEAMENTE a su familiar en El Salvador. Podrá enviarle #bitcoin (si quiere) o podrá enviarle DÓLARES, si así lo desea.

Si no quiere, siempre puede ir a hacer cola a Western Unión y pagar comisión. No hay ningún problema.","A Salvadoran abroad will be able to send money instantly to his family member in El Salvador.He will be able to send him #bitcoin (if he wants) or can you send him dollars, if he wants it.

If he does not want, he can always go to queue Western Union and pay commission.There is no problem.",Positive,Positive
1429611559416913921,"Todo el #bitcoin que reciba se convertirá automáticamente en dólares (si así lo desea) y lo podrá dejar en la billetera electrónica o retirarlo en efectivo en cualquiera de los 200 cajeros que estarán en todas partes.

También habrán 50 sucursales para retirar o depositar dinero.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:08:51.000Z,Mon Aug 23 01:08:51 +0000 2021,2984,570,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,0,,,,,,"Todo el #bitcoin que reciba se convertirá automáticamente en dólares (si así lo desea) y lo podrá dejar en la billetera electrónica o retirarlo en efectivo en cualquiera de los 200 cajeros que estarán en todas partes.

También habrán 50 sucursales para retirar o depositar dinero.","All the #BITCOIN you receive will automatically become dollars (if you wish) and you can leave it in the electronic wallet or remove it in cash at any of the 200 cashiers that will be everywhere.

There will also be 50 branches to withdraw or deposit money.",Neutral,Positive
1429613014915944450,"Los #PuntosChivo se están construyendo en todas partes.

Ahí podrán recibir ayuda en cómo utilizar la aplicación, como funciona el #bitcoin, como retirar o depositar dinero, como usar los cajeros y como recibir dinero de cualquier parte del mundo.

Todo SIN COMISIONES, a nadie. https://t.co/mBU5G8OHzb",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:14:38.000Z,Mon Aug 23 01:14:38 +0000 2021,3167,621,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,photo,https://pbs.twimg.com/media/E9cBdUoXIAEZl7J.jpg,https://pbs.twimg.com/media/E9cBdUmWYAUQWkt.jpg,https://pbs.twimg.com/media/E9cBdUpWYAMX_bB.jpg,https://pbs.twimg.com/media/E9cBdUrWYAYky6D.jpg,"Los #PuntosChivo se están construyendo en todas partes.

Ahí podrán recibir ayuda en cómo utilizar la aplicación, como funciona el #bitcoin, como retirar o depositar dinero, como usar los cajeros y como recibir dinero de cualquier parte del mundo.

Todo SIN COMISIONES, a nadie. https://t.co/mBU5G8OHzb","The #Puntoschive are being built everywhere.

There you can receive help on how to use the application, as the #BITCOIN works, such as withdrawing or depositing money, such as using the ATMs and how to receive money from anywhere in the world.

All without commissions, nobody.https://t.co/mbu5g8ohzb.",Neutral,Positive
1429614146031661061,"También habrán #CajerosChivo en todas partes y podrán retirar en EFECTIVO, las 24 horas del día y SIN COMISIONES, por más que la oposición diga lo contrario.

El problema para ellos es que podrán convencer a algunas personas de que sí habrán comisiones, pero solo hasta el 7 😘 https://t.co/H8gkYTEucc",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:19:08.000Z,Mon Aug 23 01:19:08 +0000 2021,3663,786,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,0,photo,https://pbs.twimg.com/media/E9cCfEbWEAMElyM.jpg,,,,"También habrán #CajerosChivo en todas partes y podrán retirar en EFECTIVO, las 24 horas del día y SIN COMISIONES, por más que la oposición diga lo contrario.

El problema para ellos es que podrán convencer a algunas personas de que sí habrán comisiones, pero solo hasta el 7 😘 https://t.co/H8gkYTEucc","There will also be #Cjeroschy everywhere and may withdraw in cash, 24 hours a day and without commissions, no matter how opposition say otherwise.

The problem for them is that they can convince some people that there will be commissions, but only until 7 😘 https://t.co/h8gkyteucc",Neutral,Positive
1429615072897339393,"Otra ventaja será que los negocios podrán recibir pagos en #bitcoin de parte de turistas e inversionistas.

Los trabajadores turísticos podrán recibir propinas en esta moneda también.

Podrán quedarse con los #bitcoin o transformarlos automáticamente a DÓLARES sin NINGÚN costo.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:22:48.000Z,Mon Aug 23 01:22:48 +0000 2021,2848,527,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,,,,,,"Otra ventaja será que los negocios podrán recibir pagos en #bitcoin de parte de turistas e inversionistas.

Los trabajadores turísticos podrán recibir propinas en esta moneda también.

Podrán quedarse con los #bitcoin o transformarlos automáticamente a DÓLARES sin NINGÚN costo.","Another advantage will be that businesses can receive payments at #BITCOIN from tourists and investors.

Tourist workers may receive tips in this currency as well.

They can stay with the #BITCOIN or automatically transform them to dollars at no cost.",Neutral,Positive
1429615971283648516,"¿Y qué pasa si alguien no quiere usar #bitcoin?

Pues nada, no baje la aplicación y siga su vida normal. Nadie le va a quitar sus dólares como dice la oposición.",Nayib Bukele 🇸🇻,nayibbukele,2021-08-23T01:26:23.000Z,Mon Aug 23 01:26:23 +0000 2021,4504,950,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,0,,,,,,"¿Y qué pasa si alguien no quiere usar #bitcoin?

Pues nada, no baje la aplicación y siga su vida normal. Nadie le va a quitar sus dólares como dice la oposición.","And what happens if someone does not want to use #bitcoin?

Well, nothing, do not lower the application and follow your normal life.Nobody is going to take away their dollars as the opposition says.",Neutral,Positive
